time	V(cmirror)	V(p001)	V(p002)	V(vdd)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	V(n010)
1.040806361607143e-006	3.113084057564667e+000	8.161272321428537e-002	-8.161272321428537e-002	5.000000000000000e+000	2.111423697508400e+000	3.191188537958799e+000	4.270953378409198e+000	1.031327004299814e+000	1.918367276985714e+000	2.000000000000000e+000	2.000000000000000e+000	2.081592723414282e+000	3.110500000000000e+000	8.068853795879876e-001
1.042898995535714e-006	3.113083506611293e+000	8.579799107142835e-002	-8.579799107142835e-002	5.000000000000000e+000	2.081412364220999e+000	3.191014378807239e+000	4.300616393393480e+000	1.033757567128652e+000	1.914182009128571e+000	2.000000000000000e+000	2.000000000000000e+000	2.085777991271425e+000	3.110500000000000e+000	8.051437880723916e-001
1.044991629464286e-006	3.113082934778235e+000	8.998325892857097e-002	-8.998325892857097e-002	5.000000000000000e+000	2.052381979159108e+000	3.190838972951291e+000	4.329295966743475e+000	1.036233228903852e+000	1.909996741271428e+000	2.000000000000000e+000	2.000000000000000e+000	2.089963259128568e+000	3.110500000000000e+000	8.033897295129092e-001
1.047084263392857e-006	3.113082342065495e+000	9.416852678571407e-002	-9.416852678571407e-002	5.000000000000000e+000	2.024332542322722e+000	3.190662320390954e+000	4.356992098459187e+000	1.038753989625415e+000	1.905811473414285e+000	2.000000000000000e+000	2.000000000000000e+000	2.094148526985711e+000	3.110500000000000e+000	8.016232039095400e-001
1.049176897321429e-006	3.113081728473070e+000	9.835379464285679e-002	-9.835379464285679e-002	5.000000000000000e+000	1.997264053711846e+000	3.190484421126228e+000	4.383704788540611e+000	1.041319849293341e+000	1.901626205557143e+000	2.000000000000000e+000	2.000000000000000e+000	2.098333794842854e+000	3.110500000000000e+000	7.998442112622843e-001
1.051269531250000e-006	3.113081094000963e+000	1.025390625000000e-001	-1.025390625000000e-001	5.000000000000000e+000	1.971176513326475e+000	3.190305275157114e+000	4.409434036987754e+000	1.043930807907630e+000	1.897440937699999e+000	2.000000000000000e+000	2.000000000000000e+000	2.102519062699997e+000	3.110500000000000e+000	7.980527515711419e-001
1.054199218750000e-006	3.113080207829955e+000	1.083984375000000e-001	-1.083984375000000e-001	5.000000000000000e+000	1.935790042912906e+000	3.190055037230491e+000	4.444320031548076e+000	1.047639393746692e+000	1.891581562699999e+000	2.000000000000000e+000	2.000000000000000e+000	2.108378437699997e+000	3.110500000000000e+000	7.955503723049069e-001
1.057128906250000e-006	3.113079290269937e+000	1.142578124999999e-001	-1.142578124999999e-001	5.000000000000000e+000	1.901885815205202e+000	3.189804921327166e+000	4.477724027449130e+000	1.051414569318644e+000	1.885722187700000e+000	2.000000000000000e+000	2.000000000000000e+000	2.114237812699997e+000	3.110500000000000e+000	7.930492132716591e-001
1.060058593750000e-006	3.113078382522101e+000	1.201171875000001e-001	-1.201171875000001e-001	5.000000000000000e+000	1.869379464119630e+000	3.189555455912179e+000	4.509731447704729e+000	1.055253230690583e+000	1.879862812699999e+000	2.000000000000000e+000	2.000000000000000e+000	2.120097187699997e+000	3.110500000000000e+000	7.905545591217930e-001
1.071777343750000e-006	3.113074689294970e+000	1.435546875000000e-001	-1.435546875000000e-001	5.000000000000000e+000	1.751939554491092e+000	3.188572474980211e+000	4.625205395469330e+000	1.071219682450148e+000	1.856425312700000e+000	2.000000000000000e+000	2.000000000000000e+000	2.143534687699996e+000	3.110500000000000e+000	7.807247498021084e-001
