time	V(ainp)	V(ainter1)	V(binp)	V(binter1)	V(inter1)	V(vdd)	V(xorout)	V(n002)	V(n003)	V(n004)	V(n005)
1.529506249897705e-007	7.647531249488525e-001	4.884851240840233e+000	5.000000000000000e+000	-9.751527849841536e-006	4.888234322067584e+000	5.000000000000000e+000	4.999985656976637e+000	1.394769605537431e-002	4.069773959953902e+000	-6.084029692390709e-006	4.432243811579362e+000
1.588099999897705e-007	7.940499999488526e-001	4.859633472317217e+000	5.000000000000000e+000	-1.075759050682379e-005	4.864629927053475e+000	5.000000000000000e+000	4.999984096611336e+000	1.673832203765055e-002	4.013078200900108e+000	-6.696210410522642e-006	4.412422500732965e+000
1.646693749897705e-007	8.233468749488524e-001	4.831792462021780e+000	5.000000000000000e+000	-1.177403888981193e-005	4.838790799993467e+000	5.000000000000000e+000	4.999982505462155e+000	1.974573626667815e-002	3.954473060090340e+000	-7.310334812707395e-006	4.390541201906636e+000
1.716448214183419e-007	8.582241070917094e-001	4.795437769694797e+000	5.000000000000000e+000	-1.301684061156371e-005	4.805232697510326e+000	5.000000000000000e+000	4.999980568711553e+000	2.363181238584955e-002	3.882321105252221e+000	-8.053683230925133e-006	4.361970734532195e+000
1.786202678469133e-007	8.931013392345664e-001	4.754979838796096e+000	5.000000000000000e+000	-1.427864369906845e-005	4.768369860782538e+000	5.000000000000000e+000	4.999978596887186e+000	2.776245723902183e-002	3.807344537515279e+000	-8.801199633355393e-006	4.330178170610714e+000
1.855957142754847e-007	9.279785713774236e-001	4.710418669325675e+000	5.000000000000000e+000	-1.555944815232615e-005	4.728202289810101e+000	5.000000000000000e+000	4.999976589989053e+000	3.213767082619501e-002	3.729543356879513e+000	-9.552884019998178e-006	4.295163510142197e+000
1.925711607040561e-007	9.628558035202806e-001	4.661754261283535e+000	5.000000000000000e+000	-1.685925397133679e-005	4.684729984593015e+000	5.000000000000000e+000	4.999974548017153e+000	3.675745314736905e-002	3.648917563344923e+000	-1.030873639085348e-005	4.256926753126640e+000
1.995466071326275e-007	9.977330356631378e-001	4.608986614669677e+000	5.000000000000000e+000	-1.817806115610037e-005	4.637952945131281e+000	5.000000000000000e+000	4.999972470971488e+000	4.162180420254397e-002	3.565467156911509e+000	-1.106875674592131e-005	4.215467899564047e+000
2.065220535611989e-007	1.032610267805995e+000	4.552115729484099e+000	5.000000000000000e+000	-1.951586970661692e-005	4.587871171424898e+000	5.000000000000000e+000	4.999970358852057e+000	4.673072399171976e-002	3.479192137579272e+000	-1.183294508520166e-005	4.170786949454414e+000
2.134974999897703e-007	1.067487499948852e+000	4.491141605726801e+000	5.000000000000000e+000	-2.087267962288641e-005	4.534484663473867e+000	5.000000000000000e+000	4.999968211658860e+000	5.208421251489645e-002	3.390092505348211e+000	-1.260130140869452e-005	4.122883902797745e+000
2.154506249897703e-007	1.077253124948852e+000	4.473184784854626e+000	5.000000000000000e+000	-1.598392242179976e-005	4.518854873148695e+000	5.000000000000000e+000	4.999967756476044e+000	5.360901419236300e-002	3.364557772421466e+000	-1.033539441078158e-005	4.108777991208453e+000
2.174037499897703e-007	1.087018749948852e+000	4.454915650836027e+000	5.000000000000000e+000	5.301021469431358e-006	4.502941408712390e+000	5.000000000000000e+000	4.999967386858877e+000	5.514884537603329e-002	3.338781085529096e+000	-3.665602372991683e-007	4.094430364214107e+000
2.193568749897703e-007	1.096784374948852e+000	4.436360003423104e+000	5.000000000000000e+000	5.208654544524953e-005	4.486741299230045e+000	5.000000000000000e+000	4.999967052440390e+000	5.670339765799867e-002	3.312761006391905e+000	2.153810787419719e-005	4.079863238559667e+000
2.213099999897703e-007	1.106549999948852e+000	4.417525438788372e+000	5.000000000000000e+000	1.277258069606359e-004	4.470251442416669e+000	5.000000000000000e+000	4.999966725873508e+000	5.827236179401357e-002	3.286495203329986e+000	5.687313740379129e-005	4.065083300265940e+000
2.232631249897703e-007	1.116315624948852e+000	4.398414307386409e+000	5.000000000000000e+000	2.339223545490196e-004	4.453468607095415e+000	5.000000000000000e+000	4.999966411902907e+000	5.985542741510447e-002	3.259981150595388e+000	1.063407640954136e-004	4.050092761528227e+000
2.252162499897703e-007	1.126081249948852e+000	4.379029128375888e+000	5.000000000000000e+000	3.724591941831508e-004	4.436389365874135e+000	5.000000000000000e+000	4.999966106446318e+000	6.145228277080933e-002	3.233216064447340e+000	1.706693718655349e-004	4.034893984082650e+000
2.271693749897703e-007	1.135846874948852e+000	4.359372707692613e+000	5.000000000000000e+000	5.451952524119126e-004	4.419010110971797e+000	5.000000000000000e+000	4.999965814406107e+000	6.306261446311892e-002	3.206197120090739e+000	2.506094516635943e-004	4.019489571175066e+000
2.291224999897703e-007	1.145612499948852e+000	4.339448070927251e+000	5.000000000000000e+000	7.540778008213039e-004	4.401327016564881e+000	5.000000000000000e+000	4.999965531653715e+000	6.468610727670876e-002	3.178921229896218e+000	3.469398129199476e-004	4.003882317512894e+000
2.310756249897703e-007	1.155378124948852e+000	4.319258575059319e+000	5.000000000000000e+000	1.001141448160284e-003	4.383336056703834e+000	5.000000000000000e+000	4.999965263265260e+000	6.632244390635547e-002	3.151385241292944e+000	4.604644408362207e-004	3.988075296798388e+000
2.330287499897703e-007	1.165143749948852e+000	4.298807857608941e+000	5.000000000000000e+000	1.288520692401159e-003	4.365032962989698e+000	5.000000000000000e+000	4.999965005119238e+000	6.797130473880869e-002	3.123585731137532e+000	5.920184851843785e-004	3.972071824488536e+000
2.349818749897703e-007	1.174909374948852e+000	4.278099944454342e+000	5.000000000000000e+000	1.618450423217961e-003	4.346413243317306e+000	5.000000000000000e+000	4.999964762436068e+000	6.963236756822824e-002	3.095519186131588e+000	7.424656466462551e-004	3.955875542576580e+000
2.369349999897703e-007	1.184674999948852e+000	4.257139215200109e+000	5.000000000000000e+000	1.993279146077602e-003	4.327472135463039e+000	5.000000000000000e+000	4.999964531164745e+000	7.130530732503981e-002	3.067181811428008e+000	9.127041375473072e-004	3.939490395231638e+000
2.388881249897703e-007	1.194440624948851e+000	4.235930509559733e+000	5.000000000000000e+000	2.415471181361061e-003	4.308204625482496e+000	5.000000000000000e+000	4.999964316651024e+000	7.298979577257153e-002	3.038569694963472e+000	1.103664624662822e-003	3.922920712817299e+000
2.408412499897703e-007	1.204206249948851e+000	4.214479109653910e+000	5.000000000000000e+000	2.887620855716339e-003	4.288605397555763e+000	5.000000000000000e+000	4.999964114976638e+000	7.468550117710709e-002	3.009678628563634e+000	1.316316231325911e-003	3.906171201034689e+000
2.427943749897703e-007	1.213971874948851e+000	4.192790847742316e+000	5.000000000000000e+000	3.412456648852327e-003	4.268668850925558e+000	5.000000000000000e+000	4.999963931604638e+000	7.639208797733274e-002	2.980504257309506e+000	1.551665076468006e-003	3.889247026418540e+000
2.447474999897703e-007	1.223737499948852e+000	4.170872106698255e+000	5.000000000000000e+000	3.992856714302759e-003	4.248389046113473e+000	5.000000000000000e+000	4.999963762812486e+000	7.810921638825780e-002	2.951041911538644e+000	1.810760399307346e-003	3.872153820040184e+000
2.467006249897703e-007	1.233503124948852e+000	4.148729932302836e+000	5.000000000000000e+000	4.631855308915800e-003	4.227759719294585e+000	5.000000000000000e+000	4.999963614184217e+000	7.983654203313659e-002	2.921286742116373e+000	2.094693750007814e-003	3.854897767076416e+000
2.486537499897703e-007	1.243268749948852e+000	4.126372053788587e+000	5.000000000000000e+000	5.332660095365038e-003	4.206774224756062e+000	5.000000000000000e+000	4.999963482259101e+000	8.157371547186273e-002	2.891233561810804e+000	2.404605333792283e-003	3.837485626655815e+000
2.506068749897703e-007	1.253034374948852e+000	4.103807004495194e+000	5.000000000000000e+000	6.098661299852509e-003	4.185425545560442e+000	5.000000000000000e+000	4.999963372758895e+000	8.332038178256118e-002	2.860876967100197e+000	2.741683928619183e-003	3.819924828579667e+000
2.525599999897703e-007	1.262799999948851e+000	4.081044165171700e+000	5.000000000000000e+000	6.933451370896571e-003	4.163706231852826e+000	5.000000000000000e+000	4.999963282556575e+000	8.507618000231376e-002	2.830211187425162e+000	3.107173566434821e-003	3.802223511547142e+000
2.545131249897703e-007	1.272565624948851e+000	4.058093897575875e+000	5.000000000000000e+000	7.840837458253147e-003	4.141608406557985e+000	5.000000000000000e+000	4.999963217543378e+000	8.684074264241667e-002	2.799230193916457e+000	3.502374279274474e-003	3.784390630753998e+000
2.564662499897703e-007	1.282331249948851e+000	4.034967614218135e+000	5.000000000000000e+000	8.824864169319241e-003	4.119123698836146e+000	5.000000000000000e+000	4.999963175007101e+000	8.861369502562716e-002	2.767927554992100e+000	3.928649263385368e-003	3.766436017548233e+000
